stopa,rok,miesiac,sr_zarob,sr.temp,stopa_oprocentowania,saldo_obrotow_tow,pzws
1918.60,2015,1,4043.22,1.36,2,2047.7,5573.00
1918.70,2015,2,4054.62,0.84,2,2464.6,5573.00
1860.60,2015,3,4087.88,4.93,1.5,1817.8,5576.00
1782.20,2015,4,4071.88,8.17,1.5,-428.6,5575.00
1702.10,2015,5,4088.8,12.54,1.5,2642.3,5577.00
1622.30,2015,6,4064.86,16.41,1.5,569.9,5578.00
1585.70,2015,7,4092.73,19.14,1.5,-1954.8,5583.00
1563.50,2015,8,4113.43,21.51,1.5,-829.7,5588.00
1539.40,2015,9,4144.22,14.92,1.5,664.5,5593.00
1516.90,2015,10,4152.39,7.6,1.5,1968.1,5608.00
1530.60,2015,11,4165.3,5.7,1.5,628.7,5617.00
1563.30,2015,12,4177.73,4.61,1.5,272,5626.00
1647.50,2016,1,4212.7,-2.68,1.5,2032.9,5703.00
1652.70,2016,2,4211.66,3.37,1.5,1469.9,5711.00
1600.50,2016,3,4219.28,3.84,1.5,1572.7,5727.00
1521.80,2016,4,4244.99,8.79,1.5,2106.1,5730.00
1456.90,2016,5,4252.77,14.75,1.5,2537.7,5734.00
1392.50,2016,6,4256.45,18.32,1.5,3112.3,5753.00
1361.50,2016,7,4306.18,19.16,1.5,744.1,5762.00
1346.90,2016,8,4286.31,17.93,1.5,-1172.3,5761.00
1324.10,2016,9,4304.22,15.77,1.5,647,5771.00
1308.00,2016,10,4315.66,7.57,1.5,1116.5,5779.00
1313.60,2016,11,4341.05,3.29,1.5,2516.9,5792.00
1335.20,2016,12,4327.52,1.16,1.5,323.9,5799.00
1397.10,2017,1,4367.78,-3.56,1.5,1927.8,5960.00
1383.40,2017,2,4393.31,-0.15,1.5,-734.6,5976.00
1324.20,2017,3,4427.28,5.75,1.5,1942.5,5982.00
1252.70,2017,4,4443.67,7.13,1.5,1857.8,5991.00
1202.10,2017,5,4467.33,13.65,1.5,-381.1,5990.00
1151.60,2017,6,4509.27,17.71,1.5,-355.8,6002.00
1140.00,2017,7,4521.74,18.27,1.5,-884.2,6022.00
1136.10,2017,8,4560.75,19.11,1.5,1039.2,6026.00
1117.10,2017,9,4580.43,13.7,1.5,1728,6031.00
1069.50,2017,10,4610.31,9.98,1.5,1633.8,6036.00
1067.70,2017,11,4616.82,4.79,1.5,296.3,6053.00
1081.70,2017,12,4679.48,2.37,1.5,-5528.6,6065.00
1133.70,2018,1,4669.46,1,1.5,-2145.8,6187.00
1126.70,2018,2,4690.89,-3.36,1.5,-2400.5,6197.00
1092.20,2018,3,4748.7,0.13,1.5,-1696.7,6205.00
1042.50,2018,4,4770.91,12.64,1.5,-58,6212.00
1002.20,2018,5,4794.44,16.71,1.5,158.5,6210.00
967.90,2018,6,4844.08,18.36,1.5,-1716.8,6222.00
961.80,2018,7,4837.85,20.11,1.5,-1162.4,6231.00
958.60,2018,8,4867.24,20.39,1.5,-3327.3,6229.00
947.40,2018,9,4905.94,15.52,1.5,62.9,6225.00
937.30,2018,10,4945.18,10.28,1.5,-1557,6227.00
950.50,2018,11,4973.59,4.43,1.5,316.7,6232.00
968.90,2018,12,4978.79,1.62,1.5,-5980.2,6233.00
1023.10,2019,1,5002.01,-1.64,1.5,733.8,6368.00
1016.70,2019,2,5026.14,2.9,1.5,-1954.9,6378.00
984.70,2019,3,5049.16,5.53,1.5,2496.9,6394.00
938.30,2019,4,5089.12,9.8,1.5,585.9,6392.00
906.00,2019,5,5144.39,12.41,1.5,-1061.8,6380.00
877.10,2019,6,5149.34,21.55,1.5,411.8,6394.00
868.40,2019,7,5179.03,18.6,1.5,-529.6,6397.00
865.50,2019,8,5213.4,20,1.5,-1093,6390.00
851.20,2019,9,5213.46,14.39,1.5,2702.5,6386.00
840.50,2019,10,5246.11,10.72,1.5,978.6,6383.00
849.60,2019,11,5279.5,6.37,1.5,2307.1,6395.00
866.40,2019,12,5282.66,3.33,1.5,-464.9,6396.00
922.20,2020,1,5354.48,2.46,1.5,388.4,6441.00
919.90,2020,2,5399.09,4.01,1.5,2709.8,6446.00
909.40,2020,3,5348.86,4.63,1,-620.7,6412.00
965.80,2020,4,5178.25,8.79,0.5,-1184.8,6259.00
1011.70,2020,5,5238.67,11.24,0.1,4954.7,6174.00
1026.50,2020,6,5307.92,18.01,0.1,10448.8,6186.00
1029.50,2020,7,5376.61,18.44,0.1,2500,6252.00
1028.00,2020,8,5433.07,19.97,0.1,3958.6,6295.00
1023.70,2020,9,5483.85,15.23,0.1,6715.7,6312.00
1018.40,2020,10,5520.36,10.7,0.1,7804.2,6318.00
1025.70,2020,11,5530.68,5.73,0.1,7540.4,6319.00
1046.40,2020,12,5587.53,1.8,0.1,1938.9,6329.00
1090.40,2021,1,5644.48,-1.06,0.1,5589.7,6314.00
1099.50,2021,2,5626.11,-1.7,0.1,2421.6,6334.00
1078.40,2021,3,5733.48,3.18,0.1,2254.8,6330.00
1053.80,2021,4,5696.69,6.2,0.1,6689,6317.00
1026.70,2021,5,5775.73,12.2,0.1,-269,6338.00
993.40,2021,6,5833.1,19.55,0.1,1867.4,6359.00
974.90,2021,7,5864.79,21.32,0.1,-2884.5,6362.00
960.80,2021,8,5933.86,17.09,0.1,-5435.2,6352.00
934.70,2021,9,5956.39,13.9,0.1,-1177.8,6347.00
910.90,2021,10,6015.33,9.48,0.5,-1520.4,6351.00
898.80,2021,11,6072.19,5.22,1.25,-1998,6364.00
895.20,2021,12,6195.46,-0.74,1.75,-12560.1,6362.00
927.10,2022,1,6179.81,1.06,2.25,-766,6460.00
921.80,2022,2,6259.43,3.21,2.75,-4661.8,6475.00
902.10,2022,3,6449.3,3.2,3.5,-16218.1,6485.00
878.00,2022,4,6495.58,6.78,4.5,-11562.4,6497.00
850.20,2022,5,6534.23,13.57,5.25,-5055.9,6492.00
818.00,2022,6,6592.31,18.93,6,-4165.9,6497.00
810.20,2022,7,6794.47,19.1,6.5,-7414.6,6508.00
806.90,2022,8,6700.36,20.8,6.5,-10243.1,6503.00
801.70,2022,9,6809.83,12.4,6.75,-10389,6494.00
796.00,2022,10,6812.62,11.31,6.75,-8322.1,6501.00
800.20,2022,11,6903.92,4.36,6.75,-823.3,6507.00
812.30,2022,12,6936.27,0.22,6.75,-13579.9,6505.00
857.60,2023,1,7007.82,2.88,6.75,3210.7,6530.00
864.80,2023,2,7109.24,1.5,6.75,5295.8,6526.00
846.90,2023,3,7279.03,4.52,6.75,7061.3,6517.00
821.90,2023,4,7275.75,7.92,6.75,3143.3,6524.00
802.30,2023,5,7321.03,12.99,6.75,5952,6518.00
783.50,2023,6,7374.09,17.7,6.75,8421.4,6513.00
782.40,2023,7,7469.78,19.61,6.75,1764.1,6514.00
782.50,2023,8,7496.75,19.89,6.75,1837.7,6502.00
776.00,2023,9,7543.65,17.82,6,5765.6,6496.00
770.40,2023,10,7640.93,10.96,5.75,6311.6,6494.00
773.40,2023,11,7687.84,4.15,5.75,1839.8,6494.00
788.20,2023,12,7696.54,2.07,5.75,2000.6,6495.00
